primary_employer_name,alias_name,alias_type,usage_count
"A.T. KEARNEY, INC",KEARNEY,TRADE_NAME_DBA,71
TEMPLE UNIVERSITY--A COMMONWEALTH UNIVERSITY,TEMPLE UNIVERSITY,TRADE_NAME_DBA,70
"ZOOMINFO TECHNOLOGIES, LLC",ZOOMINFO,TRADE_NAME_DBA,70
APTIV US SERVICES GENERAL PARTNERSHIP,APTIV,TRADE_NAME_DBA,70
RJT COMPUQUEST INC DBA APOLIS,APOLIS,TRADE_NAME_DBA,69
LENOVO (UNITED STATES) INC,LENOVO,TRADE_NAME_DBA,69
SK HYNIX NAND PRODUCT SOLUTIONS CORP,SOLIDIGM,TRADE_NAME_DBA,66
DUBOIS REGIONAL MEDICAL CENTER,PENN HIGHLANDS DUBOIS,TRADE_NAME_DBA,66
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,UT HEALTH SAN ANTONIO,TRADE_NAME_DBA,66
"THE BROAD INSTITUTE, INC",THE BROAD INSTITUTE,TRADE_NAME_DBA,65
WAYNE STATE UNIVERSITY,BOARD OF GOVERNORS,TRADE_NAME_DBA,65
"EXEL, INC",DHL SUPPLY CHAIN (USA),TRADE_NAME_DBA,64
STATE UNIVERSITY OF NEW YORK AT BUFFALO,UNIVERSITY AT BUFFALO,TRADE_NAME_DBA,64
"M. ARTHUR GENSLER JR. & ASSOCIATES, INC",GENSLER,TRADE_NAME_DBA,63
HARVEY NASH INC,"LATITUDE 36, INC",TRADE_NAME_DBA,62
UCHICAGO ARGONNE LLC,ARGONNE NATIONAL LABORATORY,TRADE_NAME_DBA,62
KASTECH SOLUTIONS LLC,KASTECH SOFTWARE SOLUTIONS GROUP,TRADE_NAME_DBA,60
"TD BANK, NATIONAL ASSOCIATION","TD BANK, AMERICA'S MOST CONVENIENT BANK",TRADE_NAME_DBA,60
SSM HEALTH CARE GROUP,SLUCARE PHYSICIAN GROUP,TRADE_NAME_DBA,60
"EUROFINS LANCASTER LABORATORIES PROFESSIONAL SCIENTIFIC SERVICES, LLC",EUROFINS PSS INSOURCING SOLUTIONS,TRADE_NAME_DBA,59
STATE UNIVERSITY OF NEW YORK AT STONY BROOK,STONY BROOK UNIVERSITY,TRADE_NAME_DBA,58
"QUALTRICS, LLC",QUALTRICS,TRADE_NAME_DBA,58
ERNST & YOUNG LLP (EY GUAM),ERNST & YOUNG,TRADE_NAME_DBA,58
"NB VENTURES, INC",DBA GEP,TRADE_NAME_DBA,58
"UNIVERSITY COMMUNITY HOSPITAL, INC",ADVENTHEALTH TAMPA,TRADE_NAME_DBA,58
"YOH, A DAY & ZIMMERMANN COMPANY",YOH SERVICES,TRADE_NAME_DBA,57
FIDELITY BROKERAGE SERVICES LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,56
TATA TECHNOLOGIES INC,NOT APPLICABLE,TRADE_NAME_DBA,55
DVG TECH SOLUTIONS LLC,DIGITUSVERTO,TRADE_NAME_DBA,54
"SCOTIA CAPITAL (USA), INC",SCOTIABANK,TRADE_NAME_DBA,53
COMTEC CONSULTANTS INC,COMTEC INFORMATIONS SYSTEMS,TRADE_NAME_DBA,52
INFOTECH PRISM LLC,CIRRUSLABS,TRADE_NAME_DBA,52
INFOSTRETCH CORPORATION,APEXON,TRADE_NAME_DBA,52
NATIONAL RAILROAD PASSENGER CORPORATION,AMTRAK,TRADE_NAME_DBA,51
"ZT GROUP INT'L, INC",ZT SYSTEMS,TRADE_NAME_DBA,50
FEDERAL NATIONAL MORTGAGE ASSOCIATION,FANNIE MAE,TRADE_NAME_DBA,50
"RICHMOND CHILDREN CENTER, INC","RICHMOND COMMUNITY SERVICES, INC",TRADE_NAME_DBA,50
"MEDSTAR MEDICAL GROUP II, LLC",MEDSTAR MEDICAL GROUP,TRADE_NAME_DBA,49
"INTONE NETWORKS, INC",INTONE,TRADE_NAME_DBA,49
"UCHICAGO ARGONNE, LLC",ARGONNE NATIONAL LABORATORY,TRADE_NAME_DBA,49
"WORLD WIDE TECHNOLOGY HOLDING COMPANY, LLC","WORLD WIDE TECHNOLOGY, LLC",TRADE_NAME_DBA,48
"GROUP HEALTH, INC",HEALTHPARTNERS,TRADE_NAME_DBA,48
RYZLINK CORP,CHUWA AMERICA CORP,TRADE_NAME_DBA,47
EASTERN MAINE MEDICAL CENTER,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,TRADE_NAME_DBA,47
TRUSTEES OF DARTMOUTH COLLEGE,DARTMOUTH COLLEGE,TRADE_NAME_DBA,46
"STATE UNIVERSITY OF NEW YORK, UPSTATE MEDICAL UNIVERSITY",SUNY UPSTATE MEDICAL UNIVERSITY,TRADE_NAME_DBA,45
AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,ASSURANT INC,TRADE_NAME_DBA,45
"CORGAN ASSOCIATES, INC",CORGAN,TRADE_NAME_DBA,45
SAI BUSINESS SOLUTIONS LLC,SBS CORP,TRADE_NAME_DBA,45
TRENMOR LLC,LINESIGHT,TRADE_NAME_DBA,44
"ILINK SYSTEMS, INC",ILINK DIGITAL,TRADE_NAME_DBA,43
LORVENK TECHNOLOGIES LLC,ARKA TECHNOLOGIES LLC,TRADE_NAME_DBA,43
KEYSTONE TECHNOLOGY PARTNERS INC,N/A/A,TRADE_NAME_DBA,43
NASH COUNTY BOARD OF EDUCATION,NASH COUNTY PUBLIC SCHOOLS,TRADE_NAME_DBA,42
THE BANK OF NOVA SCOTIA,SCOTIABANK,TRADE_NAME_DBA,42
ROSWELL PARK CANCER INSTITUTE,ROSWELL PARK COMPREHENSIVE CANCER CENTER,TRADE_NAME_DBA,42
"IHC HEALTH SERVICES, INC",INTERMOUNTAIN HEALTH,TRADE_NAME_DBA,41
"CYBERBRIDGE INTERNATIONAL, INC D/B/A CREOSPAN, INC","CREOSPAN, INC",TRADE_NAME_DBA,41
"ACTIVEHOURS, INC",EARNIN,TRADE_NAME_DBA,41
"BRAINS TECHNOLOGY SOLUTIONS, INC","SAGA IT SOLUTIONS, INC",TRADE_NAME_DBA,41
